feature,importance
VSA_EState2,0.2860057836667385
fr_bicyclic,0.08741676262388887
Active Layer,0.08033669115861353
MinAbsEStateIndex,0.05357407457970653
llm_pca_0026,0.026711860414457445
llm_pca_0018,0.022619525871544144
llm_pca_0030,0.019502857618721614
SAM Solution Concentration (mM),0.017924545327316466
llm_pca_0015,0.012929052583414369
BCUT2D_LOGPHI,0.010645389569402919
SlogP_VSA10,0.010495088161845856
MinEStateIndex,0.008834021386051272
Carrier_Role,0.008583246073133377
llm_pca_0016,0.00831249906229814
llm_pca_0005,0.008236811865824256
Chi3n,0.00817606279814781
llm_pca_0029,0.006680993114702494
Chi2n,0.006412159671502271
Bit_192,0.00630448348151369
llm_pca_0011,0.0059941483568278775
llm_pca_0001,0.005579380590287841
llm_pca_0022,0.005060483896203283
SMR_VSA10,0.004830869325867959
llm_pca_0031,0.004708607398106246
Substrate Type,0.004697610007479147
Spin Coating Speed (rpm),0.0044162709015241886
EState_VSA4,0.004201661269030321
FpDensityMorgan3,0.0039110337978154885
Post-washing Annealing Time (min),0.0038676814074272703
llm_pca_0008,0.0038126670698140352
SAM Solvent,0.003684736814998646
Chi4n,0.0035337434511877874
llm_pca_0023,0.003522389759574196
MaxAbsPartialCharge,0.0031372274302804426
Soaking,0.003070778464599022
SMR_VSA5,0.003040204346554387
Bit_610,0.0028173260194945815
Chi1v,0.0026256899688659185
EState_VSA6,0.002525082725851613
llm_pca_0009,0.0025215962527723734
llm_pca_0024,0.0024061538283983164
llm_pca_0014,0.0022239538994694996
PEOE_VSA8,0.0021726127639336568
Bit_926,0.0019609668082463116
Kappa3,0.0018911442306026593
Post-washing Annealing Temperature (°C),0.001853031894297863
Initial Annealing Temperature for SAM (°C),0.0018277907403970728
EState_VSA8,0.0017310472492377271
FractionCSP3,0.0016680140256821185
Bit_673,0.0016252338120756882
VSA_EState10,0.0016191707156813506
llm_pca_0025,0.0016058221206013412
MinAbsPartialCharge,0.0015379824026646172
SMR_VSA7,0.001461909384436022
FpDensityMorgan2,0.0014474440280416445
VSA_EState6,0.0013888805674512894
SlogP_VSA3,0.0013187542346304593
EState_VSA3,0.0012157320430387641
llm_pca_0019,0.0011831721087898761
llm_pca_0003,0.001043789382209337
Soak Time,0.0009703494467067086
llm_pca_0010,0.00096447808897826
BCUT2D_MRLOW,0.0009446797860467315
llm_pca_0021,0.0008788980461623686
llm_pca_0017,0.000867356631140237
：Initial Annealing Time for SAM (min),0.000847224502398991
SPS,0.0008114303211054774
UV-Ozone Treatment Time (min),0.0007385346075055033
llm_pca_0028,0.0007250768251845785
Bit_645,0.0006550242809090223
Bit_42,0.0006260782316841462
FpDensityMorgan1,0.0006154008529991595
EState_VSA5,0.0005930053201780305
SlogP_VSA6,0.000536949333292458
llm_pca_0013,0.0005348693446800001
Bit_491,0.0005047594365346075
BCUT2D_MRHI,0.0004405984090691817
Phi,0.00044056089856359115
VSA_EState8,0.00041325592164559444
MolMR,0.000381608085951779
Bit_281,0.00033697116579983755
llm_pca_0020,0.00030946664827002923
Bit_932,0.00030350901860015655
SMR_VSA9,0.00023678449720393457
BalabanJ,0.00023360766574159753
fr_Ar_N,0.00022433538821364785
SMR_VSA3,0.0002191003611241027
llm_pca_0012,0.00020951624669840463
BCUT2D_CHGLO,0.000177712818278164
Bit_63,0.00017140774679869075
Bit_843,0.00016746923740501574
SMR_VSA6,0.00015664335459497636
Bit_831,0.00015245525898066603
Bit_235,0.00014711935654232455
SlogP_VSA7,0.00013425151506707422
Bit_875,0.00013313655763236287
Substrate Work Function,0.0001319826907510424
BCUT2D_LOGPLOW,0.00013023553343649574
SMR_VSA1,0.00012823984438814495
fr_amide,0.00012404723766179515
Bit_749,0.0001221191093387919
SlogP_VSA2,0.0001161597194816455
Bit_60,0.00011201347463996036
MolLogP,0.00011091376968508371
Bit_64,0.00010895736304239456
Bit_419,0.00010171222168026128
Spin Coating,9.22378695769055e-05
MaxPartialCharge,8.482188488417863e-05
SlogP_VSA1,8.32042919953202e-05
Bit_602,8.21913972490762e-05
PEOE_VSA9,8.082936545222852e-05
Bit_117,7.411911567867246e-05
NumSaturatedHeterocycles,7.376666713920788e-05
Bit_361,7.373984556191537e-05
NumRotatableBonds,7.207963363287107e-05
HallKierAlpha,7.155556436722055e-05
BCUT2D_MWHI,6.873007221297467e-05
Bit_88,6.808436925209715e-05
PEOE_VSA7,6.098805498905291e-05
llm_pca_0002,5.805297382999175e-05
